0.06.260.211 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.260.443 I srv          init: The UI is disabled
0.06.260.444 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.269.783 I srv    load_model: loading model '<LOCAL_RUNTIME>\models\Qwen3.5-4B-Q4_K_M.gguf'
0.08.266.918 I cmn          init: llama threadpool init, n_threads = 6
0.08.362.689 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.08.362.845 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.08.369.504 I srv  llama_server: model loaded
0.08.369.519 I srv  llama_server: listening on http://127.0.0.1:18085
8.48.671.218 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
12.09.230.455 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 722959237
12.09.230.725 I slot launch_slot_: id  0 | task 12097 | processing task, is_child = 0
12.12.855.616 I slot print_timing: id  0 | task 12097 | prompt eval time =     690.74 ms /  1421 tokens (    0.49 ms per token,  2057.21 tokens per second)
12.12.855.631 I slot print_timing: id  0 | task 12097 |        eval time =    2934.12 ms /   257 tokens (   11.46 ms per token,    87.25 tokens per second)
12.12.855.633 I slot print_timing: id  0 | task 12097 |       total time =    3624.86 ms /  1678 tokens
12.12.855.635 I slot print_timing: id  0 | task 12097 |    graphs reused =      11998
12.12.855.786 I slot      release: id  0 | task 12097 | stop processing: n_tokens = 1677, truncated = 0
12.12.866.262 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 726598896
12.12.866.868 I slot launch_slot_: id  0 | task 12360 | processing task, is_child = 0
12.15.923.180 I slot print_timing: id  0 | task 12360 | prompt eval time =     783.09 ms /  1748 tokens (    0.45 ms per token,  2232.18 tokens per second)
12.15.923.189 I slot print_timing: id  0 | task 12360 |        eval time =    2273.18 ms /   142 tokens (   16.12 ms per token,    62.03 tokens per second)
12.15.923.191 I slot print_timing: id  0 | task 12360 |       total time =    3056.28 ms /  1890 tokens
12.15.923.192 I slot print_timing: id  0 | task 12360 |    graphs reused =      12141
12.15.923.323 I slot      release: id  0 | task 12360 | stop processing: n_tokens = 1889, truncated = 0
12.15.928.478 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 729666433
12.15.928.913 I slot launch_slot_: id  0 | task 12509 | processing task, is_child = 0
12.16.939.456 I slot print_timing: id  0 | task 12509 | prompt eval time =     321.56 ms /   654 tokens (    0.49 ms per token,  2033.81 tokens per second)
12.16.939.466 I slot print_timing: id  0 | task 12509 |        eval time =     688.96 ms /    62 tokens (   11.29 ms per token,    88.54 tokens per second)
12.16.939.467 I slot print_timing: id  0 | task 12509 |       total time =    1010.52 ms /   716 tokens
12.16.939.469 I slot print_timing: id  0 | task 12509 |    graphs reused =      12202
12.16.939.542 I slot      release: id  0 | task 12509 | stop processing: n_tokens = 715, truncated = 0
12.16.972.836 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 730682652
12.16.973.048 I slot launch_slot_: id  0 | task 12575 | processing task, is_child = 0
12.20.254.801 I slot print_timing: id  0 | task 12575 | prompt eval time =     654.09 ms /  1513 tokens (    0.43 ms per token,  2313.13 tokens per second)
12.20.254.809 I slot print_timing: id  0 | task 12575 |        eval time =    2627.64 ms /   214 tokens (   12.34 ms per token,    81.06 tokens per second)
12.20.254.811 I slot print_timing: id  0 | task 12575 |       total time =    3281.73 ms /  1727 tokens
12.20.254.812 I slot print_timing: id  0 | task 12575 |    graphs reused =      12416
12.20.254.931 I slot      release: id  0 | task 12575 | stop processing: n_tokens = 1726, truncated = 0
12.20.263.777 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 733998041
12.20.264.363 I slot launch_slot_: id  0 | task 12795 | processing task, is_child = 0
12.23.179.206 I slot print_timing: id  0 | task 12795 | prompt eval time =     776.52 ms /  1798 tokens (    0.43 ms per token,  2315.45 tokens per second)
12.23.179.217 I slot print_timing: id  0 | task 12795 |        eval time =    2138.28 ms /   147 tokens (   14.65 ms per token,    68.28 tokens per second)
12.23.179.219 I slot print_timing: id  0 | task 12795 |       total time =    2914.80 ms /  1945 tokens
12.23.179.220 I slot print_timing: id  0 | task 12795 |    graphs reused =      12565
12.23.179.404 I slot      release: id  0 | task 12795 | stop processing: n_tokens = 1944, truncated = 0
12.23.185.042 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 736922514
12.23.185.392 I slot launch_slot_: id  0 | task 12949 | processing task, is_child = 0
12.24.362.196 I slot print_timing: id  0 | task 12949 | prompt eval time =     377.88 ms /   749 tokens (    0.50 ms per token,  1982.10 tokens per second)
12.24.362.207 I slot print_timing: id  0 | task 12949 |        eval time =     798.89 ms /    62 tokens (   13.10 ms per token,    76.36 tokens per second)
12.24.362.208 I slot print_timing: id  0 | task 12949 |       total time =    1176.77 ms /   811 tokens
12.24.362.210 I slot print_timing: id  0 | task 12949 |    graphs reused =      12625
12.24.362.289 I slot      release: id  0 | task 12949 | stop processing: n_tokens = 810, truncated = 0
12.24.418.432 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 738105399
12.24.418.736 I slot launch_slot_: id  0 | task 13015 | processing task, is_child = 0
12.27.032.538 I slot print_timing: id  0 | task 13015 | prompt eval time =     712.44 ms /  1402 tokens (    0.51 ms per token,  1967.89 tokens per second)
12.27.032.546 I slot print_timing: id  0 | task 13015 |        eval time =    1901.33 ms /   154 tokens (   12.43 ms per token,    80.47 tokens per second)
12.27.032.548 I slot print_timing: id  0 | task 13015 |       total time =    2613.77 ms /  1556 tokens
12.27.032.549 I slot print_timing: id  0 | task 13015 |    graphs reused =      12779
12.27.032.666 I slot      release: id  0 | task 13015 | stop processing: n_tokens = 1555, truncated = 0
12.27.041.717 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 740775776
12.27.042.224 I slot launch_slot_: id  0 | task 13175 | processing task, is_child = 0
12.30.064.250 I slot print_timing: id  0 | task 13175 | prompt eval time =     815.65 ms /  1626 tokens (    0.50 ms per token,  1993.49 tokens per second)
12.30.064.262 I slot print_timing: id  0 | task 13175 |        eval time =    2206.34 ms /   142 tokens (   15.65 ms per token,    63.91 tokens per second)
12.30.064.264 I slot print_timing: id  0 | task 13175 |       total time =    3022.00 ms /  1768 tokens
12.30.064.265 I slot print_timing: id  0 | task 13175 |    graphs reused =      12922
12.30.064.428 I slot      release: id  0 | task 13175 | stop processing: n_tokens = 1767, truncated = 0
12.30.089.900 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 743807538
12.30.090.116 I slot launch_slot_: id  0 | task 13323 | processing task, is_child = 0
12.32.538.981 I slot print_timing: id  0 | task 13323 | prompt eval time =     367.95 ms /   635 tokens (    0.58 ms per token,  1725.80 tokens per second)
12.32.538.991 I slot print_timing: id  0 | task 13323 |        eval time =    2080.90 ms /   159 tokens (   13.17 ms per token,    75.93 tokens per second)
12.32.538.992 I slot print_timing: id  0 | task 13323 |       total time =    2448.84 ms /   794 tokens
12.32.538.993 I slot print_timing: id  0 | task 13323 |    graphs reused =      13079
12.32.539.065 I slot      release: id  0 | task 13323 | stop processing: n_tokens = 793, truncated = 0
12.32.580.739 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 746282175
12.32.580.954 I slot launch_slot_: id  0 | task 13486 | processing task, is_child = 0
12.36.372.848 I slot print_timing: id  0 | task 13486 | n_gen =    226, tg =  74.98 t/s, tg_3s =  75.31 t/s
12.36.945.258 I slot print_timing: id  0 | task 13486 | prompt eval time =     791.05 ms /  1563 tokens (    0.51 ms per token,  1975.84 tokens per second)
12.36.945.299 I slot print_timing: id  0 | task 13486 |        eval time =    3573.22 ms /   270 tokens (   13.28 ms per token,    75.28 tokens per second)
12.36.945.301 I slot print_timing: id  0 | task 13486 |       total time =    4364.28 ms /  1833 tokens
12.36.945.303 I slot print_timing: id  0 | task 13486 |    graphs reused =      13349
12.36.945.444 I slot      release: id  0 | task 13486 | stop processing: n_tokens = 1832, truncated = 0
12.36.957.595 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 750688554
12.36.958.127 I slot launch_slot_: id  0 | task 13762 | processing task, is_child = 0
12.40.041.401 I slot print_timing: id  0 | task 13762 | prompt eval time =     940.86 ms /  1903 tokens (    0.49 ms per token,  2022.63 tokens per second)
12.40.041.412 I slot print_timing: id  0 | task 13762 |        eval time =    2142.39 ms /   145 tokens (   14.88 ms per token,    67.21 tokens per second)
12.40.041.413 I slot print_timing: id  0 | task 13762 |       total time =    3083.25 ms /  2048 tokens
12.40.041.414 I slot print_timing: id  0 | task 13762 |    graphs reused =      13496
12.40.041.555 I slot      release: id  0 | task 13762 | stop processing: n_tokens = 2047, truncated = 0
12.40.046.978 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 753784665
12.40.047.277 I slot launch_slot_: id  0 | task 13914 | processing task, is_child = 0
12.42.271.329 I slot print_timing: id  0 | task 13914 | prompt eval time =     430.22 ms /   800 tokens (    0.54 ms per token,  1859.51 tokens per second)
12.42.271.340 I slot print_timing: id  0 | task 13914 |        eval time =    1793.81 ms /   142 tokens (   12.72 ms per token,    78.60 tokens per second)
12.42.271.342 I slot print_timing: id  0 | task 13914 |       total time =    2224.03 ms /   942 tokens
12.42.271.343 I slot print_timing: id  0 | task 13914 |    graphs reused =      13637
12.42.271.417 I slot      release: id  0 | task 13914 | stop processing: n_tokens = 941, truncated = 0
12.42.283.762 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 756014527
12.42.283.967 I slot launch_slot_: id  0 | task 14060 | processing task, is_child = 0
12.45.994.888 I slot print_timing: id  0 | task 14060 | n_gen =    228, tg =  75.47 t/s, tg_3s =  75.80 t/s
12.46.161.010 I slot print_timing: id  0 | task 14060 | prompt eval time =     703.11 ms /  1396 tokens (    0.50 ms per token,  1985.46 tokens per second)
12.46.161.025 I slot print_timing: id  0 | task 14060 |        eval time =    3173.91 ms /   240 tokens (   13.28 ms per token,    75.30 tokens per second)
12.46.161.027 I slot print_timing: id  0 | task 14060 |       total time =    3877.02 ms /  1636 tokens
12.46.161.028 I slot print_timing: id  0 | task 14060 |    graphs reused =      13877
12.46.161.192 I slot      release: id  0 | task 14060 | stop processing: n_tokens = 1635, truncated = 0
12.46.173.999 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 759904302
12.46.174.707 I slot launch_slot_: id  0 | task 14306 | processing task, is_child = 0
12.49.391.566 I slot print_timing: id  0 | task 14306 | prompt eval time =     890.52 ms /  1706 tokens (    0.52 ms per token,  1915.73 tokens per second)
12.49.391.576 I slot print_timing: id  0 | task 14306 |        eval time =    2326.31 ms /   142 tokens (   16.50 ms per token,    60.61 tokens per second)
12.49.391.577 I slot print_timing: id  0 | task 14306 |       total time =    3216.83 ms /  1848 tokens
12.49.391.579 I slot print_timing: id  0 | task 14306 |    graphs reused =      14020
12.49.391.714 I slot      release: id  0 | task 14306 | stop processing: n_tokens = 1847, truncated = 0
12.49.410.720 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 763134824
12.49.410.964 I slot launch_slot_: id  0 | task 14455 | processing task, is_child = 0
12.53.190.235 I slot print_timing: id  0 | task 14455 | prompt eval time =     886.21 ms /  1744 tokens (    0.51 ms per token,  1967.94 tokens per second)
12.53.190.248 I slot print_timing: id  0 | task 14455 |        eval time =    2893.04 ms /   223 tokens (   13.03 ms per token,    76.74 tokens per second)
12.53.190.250 I slot print_timing: id  0 | task 14455 |       total time =    3779.25 ms /  1967 tokens
12.53.190.251 I slot print_timing: id  0 | task 14455 |    graphs reused =      14244
12.53.190.379 I slot      release: id  0 | task 14455 | stop processing: n_tokens = 1966, truncated = 0
12.53.218.370 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 766933489
12.53.218.898 I slot launch_slot_: id  0 | task 14685 | processing task, is_child = 0
12.56.520.527 I slot print_timing: id  0 | task 14685 | prompt eval time =    1019.71 ms /  2037 tokens (    0.50 ms per token,  1997.63 tokens per second)
12.56.520.537 I slot print_timing: id  0 | task 14685 |        eval time =    2281.90 ms /   148 tokens (   15.52 ms per token,    64.42 tokens per second)
12.56.520.539 I slot print_timing: id  0 | task 14685 |       total time =    3301.61 ms /  2185 tokens
12.56.520.540 I slot print_timing: id  0 | task 14685 |    graphs reused =      14394
12.56.520.680 I slot      release: id  0 | task 14685 | stop processing: n_tokens = 2184, truncated = 0
12.56.607.809 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 770263790
12.56.608.059 I slot launch_slot_: id  0 | task 14840 | processing task, is_child = 0
13.00.480.798 I slot print_timing: id  0 | task 14840 | n_gen =    241, tg =  79.81 t/s, tg_3s =  80.15 t/s
13.00.795.327 I slot print_timing: id  0 | task 14840 | prompt eval time =     865.68 ms /  1741 tokens (    0.50 ms per token,  2011.14 tokens per second)
13.00.795.339 I slot print_timing: id  0 | task 14840 |        eval time =    3321.56 ms /   269 tokens (   12.39 ms per token,    80.68 tokens per second)
13.00.795.341 I slot print_timing: id  0 | task 14840 |       total time =    4187.24 ms /  2010 tokens
13.00.795.344 I slot print_timing: id  0 | task 14840 |    graphs reused =      14664
13.00.795.493 I slot      release: id  0 | task 14840 | stop processing: n_tokens = 2009, truncated = 0
13.00.814.278 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 774538603
13.00.814.787 I slot launch_slot_: id  0 | task 15116 | processing task, is_child = 0
13.03.511.421 I slot print_timing: id  0 | task 15116 | prompt eval time =     946.01 ms /  2080 tokens (    0.45 ms per token,  2198.71 tokens per second)
13.03.511.431 I slot print_timing: id  0 | task 15116 |        eval time =    1750.61 ms /   134 tokens (   13.16 ms per token,    75.97 tokens per second)
13.03.511.433 I slot print_timing: id  0 | task 15116 |       total time =    2696.61 ms /  2214 tokens
13.03.511.434 I slot print_timing: id  0 | task 15116 |    graphs reused =      14801
13.03.511.579 I slot      release: id  0 | task 15116 | stop processing: n_tokens = 2213, truncated = 0
13.03.608.953 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 777254689
13.03.609.280 I slot launch_slot_: id  0 | task 15257 | processing task, is_child = 0
13.06.133.948 I slot print_timing: id  0 | task 15257 | prompt eval time =     729.22 ms /  1688 tokens (    0.43 ms per token,  2314.81 tokens per second)
13.06.133.959 I slot print_timing: id  0 | task 15257 |        eval time =    1795.43 ms /   146 tokens (   12.38 ms per token,    80.76 tokens per second)
13.06.133.960 I slot print_timing: id  0 | task 15257 |       total time =    2524.64 ms /  1834 tokens
13.06.133.961 I slot print_timing: id  0 | task 15257 |    graphs reused =      14948
13.06.134.088 I slot      release: id  0 | task 15257 | stop processing: n_tokens = 1833, truncated = 0
13.06.143.894 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 779877198
13.06.144.392 I slot launch_slot_: id  0 | task 15409 | processing task, is_child = 0
13.08.958.086 I slot print_timing: id  0 | task 15409 | prompt eval time =     876.06 ms /  1904 tokens (    0.46 ms per token,  2173.37 tokens per second)
13.08.958.094 I slot print_timing: id  0 | task 15409 |        eval time =    1937.62 ms /   149 tokens (   13.09 ms per token,    76.38 tokens per second)
13.08.958.096 I slot print_timing: id  0 | task 15409 |       total time =    2813.68 ms /  2053 tokens
13.08.958.097 I slot print_timing: id  0 | task 15409 |    graphs reused =      15098
13.08.958.229 I slot      release: id  0 | task 15409 | stop processing: n_tokens = 2052, truncated = 0
13.09.040.141 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 782701339
13.09.040.373 I slot launch_slot_: id  0 | task 15565 | processing task, is_child = 0
13.12.709.052 I slot print_timing: id  0 | task 15565 | n_gen =    264, tg =  87.35 t/s, tg_3s =  87.69 t/s
13.14.452.504 I slot print_timing: id  0 | task 15565 | prompt eval time =     657.89 ms /  1459 tokens (    0.45 ms per token,  2217.68 tokens per second)
13.14.452.514 I slot print_timing: id  0 | task 15565 |        eval time =    4754.21 ms /   410 tokens (   11.62 ms per token,    86.03 tokens per second)
13.14.452.516 I slot print_timing: id  0 | task 15565 |       total time =    5412.10 ms /  1869 tokens
13.14.452.517 I slot print_timing: id  0 | task 15565 |    graphs reused =      15507
13.14.452.632 I slot      release: id  0 | task 15565 | stop processing: n_tokens = 1868, truncated = 0
13.14.475.364 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 788195742
13.14.475.866 I slot launch_slot_: id  0 | task 15981 | processing task, is_child = 0
13.17.395.881 I slot print_timing: id  0 | task 15981 | prompt eval time =     899.57 ms /  1939 tokens (    0.46 ms per token,  2155.47 tokens per second)
13.17.395.891 I slot print_timing: id  0 | task 15981 |        eval time =    2020.42 ms /   150 tokens (   13.56 ms per token,    73.75 tokens per second)
13.17.395.892 I slot print_timing: id  0 | task 15981 |       total time =    2919.99 ms /  2089 tokens
13.17.395.894 I slot print_timing: id  0 | task 15981 |    graphs reused =      15659
13.17.396.042 I slot      release: id  0 | task 15981 | stop processing: n_tokens = 2088, truncated = 0
13.17.473.228 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 791139154
13.17.473.528 I slot launch_slot_: id  0 | task 16138 | processing task, is_child = 0
13.21.175.076 I slot print_timing: id  0 | task 16138 | n_gen =    244, tg =  80.75 t/s, tg_3s =  81.08 t/s
13.22.839.943 I slot print_timing: id  0 | task 16138 | prompt eval time =     692.20 ms /  1485 tokens (    0.47 ms per token,  2145.34 tokens per second)
13.22.839.993 I slot print_timing: id  0 | task 16138 |        eval time =    4674.19 ms /   382 tokens (   12.27 ms per token,    81.51 tokens per second)
13.22.839.995 I slot print_timing: id  0 | task 16138 |       total time =    5366.38 ms /  1867 tokens
13.22.839.996 I slot print_timing: id  0 | task 16138 |    graphs reused =      16040
13.22.840.264 I slot      release: id  0 | task 16138 | stop processing: n_tokens = 1866, truncated = 0
13.22.855.846 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 796583374
13.22.856.544 I slot launch_slot_: id  0 | task 16526 | processing task, is_child = 0
13.25.905.566 I slot print_timing: id  0 | task 16526 | prompt eval time =     932.38 ms /  1937 tokens (    0.48 ms per token,  2077.49 tokens per second)
13.25.905.577 I slot print_timing: id  0 | task 16526 |        eval time =    2116.62 ms /   148 tokens (   14.40 ms per token,    69.45 tokens per second)
13.25.905.579 I slot print_timing: id  0 | task 16526 |       total time =    3048.99 ms /  2085 tokens
13.25.905.581 I slot print_timing: id  0 | task 16526 |    graphs reused =      16190
13.25.905.743 I slot      release: id  0 | task 16526 | stop processing: n_tokens = 2084, truncated = 0
13.25.942.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 799648853
13.25.943.181 I slot launch_slot_: id  0 | task 16681 | processing task, is_child = 0
13.28.738.905 I slot print_timing: id  0 | task 16681 | prompt eval time =     669.20 ms /  1402 tokens (    0.48 ms per token,  2095.04 tokens per second)
13.28.738.917 I slot print_timing: id  0 | task 16681 |        eval time =    2126.50 ms /   179 tokens (   11.95 ms per token,    83.71 tokens per second)
13.28.738.918 I slot print_timing: id  0 | task 16681 |       total time =    2795.70 ms /  1581 tokens
13.28.738.919 I slot print_timing: id  0 | task 16681 |    graphs reused =      16369
13.28.739.038 I slot      release: id  0 | task 16681 | stop processing: n_tokens = 1580, truncated = 0
13.28.770.981 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 802482148
13.28.771.704 I slot launch_slot_: id  0 | task 16866 | processing task, is_child = 0
13.31.536.467 I slot print_timing: id  0 | task 16866 | prompt eval time =     778.33 ms /  1651 tokens (    0.47 ms per token,  2121.20 tokens per second)
13.31.536.479 I slot print_timing: id  0 | task 16866 |        eval time =    1986.39 ms /   150 tokens (   13.33 ms per token,    75.01 tokens per second)
13.31.536.480 I slot print_timing: id  0 | task 16866 |       total time =    2764.73 ms /  1801 tokens
13.31.536.482 I slot print_timing: id  0 | task 16866 |    graphs reused =      16519
13.31.536.626 I slot      release: id  0 | task 16866 | stop processing: n_tokens = 1800, truncated = 0
13.31.639.269 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 805279736
13.31.639.532 I slot launch_slot_: id  0 | task 17022 | processing task, is_child = 0
13.35.328.865 I slot print_timing: id  0 | task 17022 | n_gen =    252, tg =  83.66 t/s, tg_3s =  84.00 t/s
13.36.422.795 I slot print_timing: id  0 | task 17022 | prompt eval time =     689.23 ms /  1515 tokens (    0.45 ms per token,  2198.10 tokens per second)
13.36.422.805 I slot print_timing: id  0 | task 17022 |        eval time =    4094.00 ms /   344 tokens (   11.94 ms per token,    83.78 tokens per second)
13.36.422.807 I slot print_timing: id  0 | task 17022 |       total time =    4783.23 ms /  1859 tokens
13.36.422.808 I slot print_timing: id  0 | task 17022 |    graphs reused =      16862
13.36.422.913 I slot      release: id  0 | task 17022 | stop processing: n_tokens = 1858, truncated = 0
13.36.432.444 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 810166023
13.36.433.137 I slot launch_slot_: id  0 | task 17372 | processing task, is_child = 0
13.39.198.389 I slot print_timing: id  0 | task 17372 | prompt eval time =     917.24 ms /  1929 tokens (    0.48 ms per token,  2103.05 tokens per second)
13.39.198.401 I slot print_timing: id  0 | task 17372 |        eval time =    1847.98 ms /   148 tokens (   12.57 ms per token,    79.55 tokens per second)
13.39.198.403 I slot print_timing: id  0 | task 17372 |       total time =    2765.22 ms /  2077 tokens
13.39.198.404 I slot print_timing: id  0 | task 17372 |    graphs reused =      17011
13.39.198.555 I slot      release: id  0 | task 17372 | stop processing: n_tokens = 2076, truncated = 0
13.39.310.346 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 812941665
13.39.310.604 I slot launch_slot_: id  0 | task 17527 | processing task, is_child = 0
13.41.877.637 I slot print_timing: id  0 | task 17527 | prompt eval time =     600.74 ms /  1319 tokens (    0.46 ms per token,  2195.64 tokens per second)
13.41.877.653 I slot print_timing: id  0 | task 17527 |        eval time =    1966.27 ms /   164 tokens (   12.06 ms per token,    82.90 tokens per second)
13.41.877.654 I slot print_timing: id  0 | task 17527 |       total time =    2567.01 ms /  1483 tokens
13.41.877.656 I slot print_timing: id  0 | task 17527 |    graphs reused =      17176
13.41.877.806 I slot      release: id  0 | task 17527 | stop processing: n_tokens = 1482, truncated = 0
13.41.886.851 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 815620917
13.41.887.488 I slot launch_slot_: id  0 | task 17697 | processing task, is_child = 0
13.44.574.605 I slot print_timing: id  0 | task 17697 | prompt eval time =     743.99 ms /  1553 tokens (    0.48 ms per token,  2087.40 tokens per second)
13.44.574.617 I slot print_timing: id  0 | task 17697 |        eval time =    1943.10 ms /   143 tokens (   13.68 ms per token,    73.08 tokens per second)
13.44.574.619 I slot print_timing: id  0 | task 17697 |       total time =    2687.09 ms /  1696 tokens
13.44.574.620 I slot print_timing: id  0 | task 17697 |    graphs reused =      17320
13.44.574.754 I slot      release: id  0 | task 17697 | stop processing: n_tokens = 1695, truncated = 0
13.44.604.995 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 818317864
13.44.605.217 I slot launch_slot_: id  0 | task 17846 | processing task, is_child = 0
13.48.326.376 I slot print_timing: id  0 | task 17846 | n_gen =    244, tg =  80.87 t/s, tg_3s =  81.21 t/s
13.48.448.780 I slot print_timing: id  0 | task 17846 | prompt eval time =     716.45 ms /  1598 tokens (    0.45 ms per token,  2230.44 tokens per second)
13.48.448.788 I slot print_timing: id  0 | task 17846 |        eval time =    3127.09 ms /   254 tokens (   12.36 ms per token,    80.91 tokens per second)
13.48.448.790 I slot print_timing: id  0 | task 17846 |       total time =    3843.54 ms /  1852 tokens
13.48.448.790 I slot print_timing: id  0 | task 17846 |    graphs reused =      17574
13.48.448.878 I slot      release: id  0 | task 17846 | stop processing: n_tokens = 1851, truncated = 0
13.48.479.743 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 822191988
13.48.480.213 I slot launch_slot_: id  0 | task 18106 | processing task, is_child = 0
13.51.573.822 I slot print_timing: id  0 | task 18106 | prompt eval time =     874.83 ms /  1922 tokens (    0.46 ms per token,  2196.99 tokens per second)
13.51.573.830 I slot print_timing: id  0 | task 18106 |        eval time =    2218.76 ms /   149 tokens (   14.99 ms per token,    66.70 tokens per second)
13.51.573.831 I slot print_timing: id  0 | task 18106 |       total time =    3093.59 ms /  2071 tokens
13.51.573.832 I slot print_timing: id  0 | task 18106 |    graphs reused =      17724
13.51.573.960 I slot      release: id  0 | task 18106 | stop processing: n_tokens = 2070, truncated = 0
13.51.594.597 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 825317070
13.51.594.811 I slot launch_slot_: id  0 | task 18262 | processing task, is_child = 0
13.53.809.799 I slot print_timing: id  0 | task 18262 | prompt eval time =     424.71 ms /   846 tokens (    0.50 ms per token,  1991.96 tokens per second)
13.53.809.811 I slot print_timing: id  0 | task 18262 |        eval time =    1790.26 ms /   148 tokens (   12.18 ms per token,    82.11 tokens per second)
13.53.809.813 I slot print_timing: id  0 | task 18262 |       total time =    2214.97 ms /   994 tokens
13.53.809.815 I slot print_timing: id  0 | task 18262 |    graphs reused =      17872
13.53.809.894 I slot      release: id  0 | task 18262 | stop processing: n_tokens = 993, truncated = 0
13.53.821.899 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 827553003
13.53.822.166 I slot launch_slot_: id  0 | task 18415 | processing task, is_child = 0
13.57.592.376 I slot print_timing: id  0 | task 18415 | n_gen =    265, tg =  87.69 t/s, tg_3s =  88.03 t/s
14.00.050.854 I slot print_timing: id  0 | task 18415 | prompt eval time =     759.68 ms /  1742 tokens (    0.44 ms per token,  2293.08 tokens per second)
14.00.050.863 I slot print_timing: id  0 | task 18415 |        eval time =    5468.98 ms /   460 tokens (   11.91 ms per token,    83.93 tokens per second)
14.00.050.864 I slot print_timing: id  0 | task 18415 |       total time =    6228.66 ms /  2202 tokens
14.00.050.866 I slot print_timing: id  0 | task 18415 |    graphs reused =      18332
14.00.050.990 I slot      release: id  0 | task 18415 | stop processing: n_tokens = 2201, truncated = 0
14.00.079.539 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 833794100
14.00.080.231 I slot launch_slot_: id  0 | task 18882 | processing task, is_child = 0
14.03.187.854 I slot print_timing: id  0 | task 18882 | prompt eval time =     990.05 ms /  2272 tokens (    0.44 ms per token,  2294.82 tokens per second)
14.03.187.866 I slot print_timing: id  0 | task 18882 |        eval time =    2117.54 ms /   150 tokens (   14.21 ms per token,    70.36 tokens per second)
14.03.187.868 I slot print_timing: id  0 | task 18882 |       total time =    3107.59 ms /  2422 tokens
14.03.187.869 I slot print_timing: id  0 | task 18882 |    graphs reused =      18485
14.03.188.132 I slot      release: id  0 | task 18882 | stop processing: n_tokens = 2421, truncated = 0
14.03.195.277 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 836931243
14.03.195.490 I slot launch_slot_: id  0 | task 19040 | processing task, is_child = 0
14.05.408.791 I slot print_timing: id  0 | task 19040 | prompt eval time =     477.48 ms /   986 tokens (    0.48 ms per token,  2064.99 tokens per second)
14.05.408.800 I slot print_timing: id  0 | task 19040 |        eval time =    1735.80 ms /   145 tokens (   12.05 ms per token,    82.96 tokens per second)
14.05.408.801 I slot print_timing: id  0 | task 19040 |       total time =    2213.28 ms /  1131 tokens
14.05.408.802 I slot print_timing: id  0 | task 19040 |    graphs reused =      18629
14.05.408.862 I slot      release: id  0 | task 19040 | stop processing: n_tokens = 1130, truncated = 0
14.05.452.748 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 839151972
14.05.452.966 I slot launch_slot_: id  0 | task 19190 | processing task, is_child = 0
